data_i;cod_staz;cod_aggr;tmxgg;cl_tmxgg;tmngg;cl_tmngg;tmdgg;tmdgg1;deltagg;day_gelo;cl_tist;t00;t01;t02;t03;t04;t05;t06;t07;t08;t09;t10;t11;t12;t13;t14;t15;t16;t17;t18;t19;t20;t21;t22;t23
2021-01-23 00:00:00;6660;4;((24, 1), 15.6, 1.4, 12.7, '2021-01-23T11:00:00');;((24, 1), 9.5, 1.2, 11.4, '2021-01-23T00:00:00');;((24, 1), 12.0, 1.3);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-24 00:00:00;6660;4;((24, 1), 12.9, 2.2, 9.8, '2021-01-24T02:00:00');;((24, 1), 5.5, 2.1, 8.9, '2021-01-24T22:00:00');;((24, 1), 9.3, 2.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-25 00:00:00;6660;4;((24, 1), 8.4, 1.1, 6.2, '2021-01-25T11:00:00');;((24, 1), 3.0, 1.3, 5.2, '2021-01-25T04:00:00');;((24, 1), 5.7, 1.2);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-26 00:00:00;6660;4;((24, 1), 10.4, 2.8, 6.0, '2021-01-26T13:00:00');;((24, 1), 2.2, 2.7, 5.1, '2021-01-26T22:00:00');;((24, 1), 5.5, 2.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-27 00:00:00;6660;4;((24, 1), 12.1, 3.8, 5.5, '2021-01-27T12:00:00');;((24, 1), 1.2, 3.3, 4.5, '2021-01-27T06:00:00');;((24, 1), 4.9, 3.5);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-28 00:00:00;6660;4;((24, 1), 13.4, 4.2, 6.4, '2021-01-28T11:00:00');;((24, 1), 1.2, 3.8, 5.3, '2021-01-28T07:00:00');;((24, 1), 5.8, 4.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-29 00:00:00;6660;4;((24, 1), 13.2, 4.0, 7.4, '2021-01-29T14:00:00');;((24, 1), 1.6, 3.8, 6.1, '2021-01-29T04:00:00');;((24, 1), 6.7, 3.9);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-30 00:00:00;6660;4;((24, 1), 19.8, 6.1, 10.2, '2021-01-30T14:00:00');;((24, 1), 0.6, 6.0, 8.4, '2021-01-30T06:00:00');;((24, 1), 9.3, 6.0);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-01-31 00:00:00;6660;4;((24, 1), 19.6, 3.4, 11.3, '2021-01-31T11:00:00');;((24, 1), 7.9, 2.6, 10.1, '2021-01-31T19:00:00');;((24, 1), 10.6, 3.1);;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-01 00:00:00;6660;4;((24, 1), 13.4, 2.0, 9.8, '2021-02-01T14:00:00');;((24, 1), 7.4, 1.6, 9.2, '2021-02-01T06:00:00');;((24, 1), 9.5, 1.8);;;;;;;;;;;;;;;;;;;;;;;;;;;;
