data_i;cod_staz;cod_aggr;prec24;cl_prec24;prec01;prec06;cl_prec06;prec12;cl_prec12;ggneve;storm;ggstorm
2021-08-31 00:00:00;6660;4;((24, 1), 8.8, None, None);(20, 4, 0, 0, 0, 0);((24, 1), 3.4, '2021-08-31T19:00:00');((24, 1), 8.2, '2021-08-31T18:00:00');(3, 0, 1, 0, 0, 0);((24, 1), 8.8, '2021-08-31T12:00:00');(1, 0, 1, 0, 0, 0);;;
2021-09-01 00:00:00;6660;4;((24, 1), 1.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-09-01T16:00:00');((24, 1), 0.8, '2021-09-01T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-09-01T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-02 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-02T00:00:00');((24, 1), 0.0, '2021-09-02T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-02T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-03 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-03T00:00:00');((24, 1), 0.0, '2021-09-03T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-03T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-04 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-04T00:00:00');((24, 1), 0.0, '2021-09-04T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-04T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-05 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-05T00:00:00');((24, 1), 0.0, '2021-09-05T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-05T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-06 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-06T00:00:00');((24, 1), 0.0, '2021-09-06T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-06T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-07 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-07T00:00:00');((24, 1), 0.0, '2021-09-07T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-07T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-08 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-08T00:00:00');((24, 1), 0.0, '2021-09-08T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-08T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-09-09 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-09T00:00:00');((24, 1), 0.0, '2021-09-09T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-09-09T00:00:00');(2, 0, 0, 0, 0, 0);;;
