data_i;cod_staz;cod_aggr;prec24;cl_prec24;prec01;prec06;cl_prec06;prec12;cl_prec12;ggneve;storm;ggstorm
2021-11-04 00:00:00;6660;4;((24, 1), 2.6, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 2.2, '2021-11-04T00:00:00');((24, 1), 2.6, '2021-11-04T00:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 2.6, '2021-11-04T00:00:00');(1, 1, 0, 0, 0, 0);;;
2021-11-05 00:00:00;6660;4;((24, 1), 2.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-11-05T14:00:00');((24, 1), 1.0, '2021-11-05T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 2.0, '2021-11-05T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-11-06 00:00:00;6660;4;((24, 1), 5.2, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 2.4, '2021-11-06T22:00:00');((24, 1), 4.2, '2021-11-06T18:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 4.2, '2021-11-06T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-11-07 00:00:00;6660;4;((24, 1), 0.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-11-07T00:00:00');((24, 1), 0.8, '2021-11-07T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-11-07T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-08 00:00:00;6660;4;((24, 1), 3.4, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 1.2, '2021-11-08T15:00:00');((24, 1), 2.4, '2021-11-08T12:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 3.4, '2021-11-08T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-11-09 00:00:00;6660;4;((24, 1), 6.6, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 1.2, '2021-11-09T20:00:00');((24, 1), 3.6, '2021-11-09T18:00:00');(1, 3, 0, 0, 0, 0);((24, 1), 5.2, '2021-11-09T12:00:00');(0, 1, 1, 0, 0, 0);;;
2021-11-10 00:00:00;6660;4;((24, 1), 0.2, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-11-10T17:00:00');((24, 1), 0.2, '2021-11-10T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-11-10T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-11 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-11T00:00:00');((24, 1), 0.0, '2021-11-11T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-11T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-12 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-12T00:00:00');((24, 1), 0.0, '2021-11-12T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-12T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-13 00:00:00;6660;4;((24, 1), 0.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-11-13T18:00:00');((24, 1), 0.8, '2021-11-13T18:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-11-13T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-14 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-14T00:00:00');((24, 1), 0.0, '2021-11-14T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-14T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-15 00:00:00;6660;4;((24, 1), 7.6, None, None);(21, 3, 0, 0, 0, 0);((24, 1), 4.0, '2021-11-15T22:00:00');((24, 1), 7.6, '2021-11-15T18:00:00');(3, 0, 1, 0, 0, 0);((24, 1), 7.6, '2021-11-15T12:00:00');(1, 0, 1, 0, 0, 0);;;
2021-11-16 00:00:00;6660;4;((24, 1), 72.2, None, None);(7, 13, 3, 1, 0, 0);((24, 1), 11.2, '2021-11-16T14:00:00');((24, 1), 26.4, '2021-11-16T12:00:00');(1, 0, 0, 0, 3, 0);((24, 1), 45.2, '2021-11-16T00:00:00');(0, 0, 0, 0, 2, 0);;;
2021-11-17 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-17T00:00:00');((24, 1), 0.0, '2021-11-17T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-17T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-18 00:00:00;6660;4;((24, 1), 4.8, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 1.2, '2021-11-18T11:00:00');((24, 1), 3.2, '2021-11-18T06:00:00');(2, 2, 0, 0, 0, 0);((24, 1), 3.2, '2021-11-18T00:00:00');(0, 2, 0, 0, 0, 0);;;
2021-11-19 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-19T00:00:00');((24, 1), 0.0, '2021-11-19T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-19T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-20 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-20T00:00:00');((24, 1), 0.0, '2021-11-20T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-20T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-21 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-21T00:00:00');((24, 1), 0.0, '2021-11-21T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-21T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-22 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-22T00:00:00');((24, 1), 0.0, '2021-11-22T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-22T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-23 00:00:00;6660;4;((24, 1), 9.8, None, None);(21, 3, 0, 0, 0, 0);((24, 1), 3.6, '2021-11-23T03:00:00');((24, 1), 7.8, '2021-11-23T00:00:00');(2, 1, 1, 0, 0, 0);((24, 1), 9.6, '2021-11-23T00:00:00');(1, 0, 1, 0, 0, 0);;;
2021-11-24 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-24T00:00:00');((24, 1), 0.0, '2021-11-24T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-24T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-25 00:00:00;6660;4;((24, 1), 1.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-11-25T21:00:00');((24, 1), 1.8, '2021-11-25T18:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 1.8, '2021-11-25T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-11-26 00:00:00;6660;4;((24, 1), 1.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 1.0, '2021-11-26T13:00:00');((24, 1), 1.0, '2021-11-26T12:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 1.0, '2021-11-26T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-27 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-27T00:00:00');((24, 1), 0.0, '2021-11-27T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-27T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-28 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-28T00:00:00');((24, 1), 0.0, '2021-11-28T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-28T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-11-29 00:00:00;6660;4;((24, 1), 1.2, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 1.0, '2021-11-29T20:00:00');((24, 1), 1.2, '2021-11-29T18:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 1.2, '2021-11-29T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-11-30 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-30T00:00:00');((24, 1), 0.0, '2021-11-30T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-11-30T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-01 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-01T00:00:00');((24, 1), 0.0, '2021-12-01T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-01T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-02 00:00:00;6660;4;((24, 1), 3.6, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 1.6, '2021-12-02T15:00:00');((24, 1), 2.6, '2021-12-02T12:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 3.6, '2021-12-02T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-12-03 00:00:00;6660;4;((24, 1), 1.4, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 1.0, '2021-12-03T18:00:00');((24, 1), 1.2, '2021-12-03T18:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 1.4, '2021-12-03T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-12-04 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-04T00:00:00');((24, 1), 0.0, '2021-12-04T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-04T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-05 00:00:00;6660;4;((24, 1), 2.8, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 1.2, '2021-12-05T10:00:00');((24, 1), 1.8, '2021-12-05T06:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 2.0, '2021-12-05T00:00:00');(1, 1, 0, 0, 0, 0);;;
2021-12-06 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-06T00:00:00');((24, 1), 0.0, '2021-12-06T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-06T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-07 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-07T00:00:00');((24, 1), 0.0, '2021-12-07T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-07T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-08 00:00:00;6660;4;((24, 1), 6.0, None, None);(23, 0, 1, 0, 0, 0);((24, 1), 5.6, '2021-12-08T20:00:00');((24, 1), 6.0, '2021-12-08T18:00:00');(3, 0, 1, 0, 0, 0);((24, 1), 6.0, '2021-12-08T12:00:00');(1, 0, 1, 0, 0, 0);;;
2021-12-09 00:00:00;6660;4;((24, 1), 1.8, None, None);(23, 1, 0, 0, 0, 0);((24, 1), 1.6, '2021-12-09T16:00:00');((24, 1), 1.8, '2021-12-09T12:00:00');(3, 1, 0, 0, 0, 0);((24, 1), 1.8, '2021-12-09T12:00:00');(1, 1, 0, 0, 0, 0);;;
2021-12-10 00:00:00;6660;4;((24, 1), 12.8, None, None);(21, 2, 1, 0, 0, 0);((24, 1), 5.8, '2021-12-10T23:00:00');((24, 1), 12.8, '2021-12-10T18:00:00');(3, 0, 0, 1, 0, 0);((24, 1), 12.8, '2021-12-10T12:00:00');(1, 0, 0, 1, 0, 0);;;
2021-12-11 00:00:00;6660;4;((24, 1), 22.8, None, None);(14, 10, 0, 0, 0, 0);((24, 1), 3.6, '2021-12-11T08:00:00');((24, 1), 10.8, '2021-12-11T06:00:00');(1, 1, 1, 1, 0, 0);((24, 1), 11.8, '2021-12-11T12:00:00');(0, 0, 0, 2, 0, 0);;;
2021-12-12 00:00:00;6660;4;((24, 1), 0.8, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-12-12T00:00:00');((24, 1), 0.8, '2021-12-12T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.8, '2021-12-12T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-13 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-13T00:00:00');((24, 1), 0.0, '2021-12-13T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-13T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-14 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-14T00:00:00');((24, 1), 0.0, '2021-12-14T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-14T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-15 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-15T00:00:00');((24, 1), 0.0, '2021-12-15T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-15T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-16 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-16T00:00:00');((24, 1), 0.0, '2021-12-16T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-16T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-17 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-17T00:00:00');((24, 1), 0.0, '2021-12-17T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-17T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-18 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-18T00:00:00');((24, 1), 0.0, '2021-12-18T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-18T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-19 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-19T00:00:00');((24, 1), 0.0, '2021-12-19T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-19T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-20 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-20T00:00:00');((24, 1), 0.0, '2021-12-20T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-20T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-21 00:00:00;6660;4;((24, 1), 0.6, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.4, '2021-12-21T05:00:00');((24, 1), 0.6, '2021-12-21T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.6, '2021-12-21T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-22 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-22T00:00:00');((24, 1), 0.0, '2021-12-22T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-22T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-23 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-23T00:00:00');((24, 1), 0.0, '2021-12-23T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-23T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-24 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-24T00:00:00');((24, 1), 0.0, '2021-12-24T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-24T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-25 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-25T00:00:00');((24, 1), 0.0, '2021-12-25T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-25T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-26 00:00:00;6660;4;((24, 1), 0.2, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-12-26T22:00:00');((24, 1), 0.2, '2021-12-26T18:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.2, '2021-12-26T12:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-27 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-27T00:00:00');((24, 1), 0.0, '2021-12-27T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-27T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-28 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-28T00:00:00');((24, 1), 0.0, '2021-12-28T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-28T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-29 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-29T00:00:00');((24, 1), 0.0, '2021-12-29T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-29T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-30 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-30T00:00:00');((24, 1), 0.0, '2021-12-30T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-30T00:00:00');(2, 0, 0, 0, 0, 0);;;
2021-12-31 00:00:00;6660;4;((24, 1), 0.0, None, None);(24, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-31T00:00:00');((24, 1), 0.0, '2021-12-31T00:00:00');(4, 0, 0, 0, 0, 0);((24, 1), 0.0, '2021-12-31T00:00:00');(2, 0, 0, 0, 0, 0);;;
2022-01-01 00:00:00;6660;4;((1, 0), 0.0, None, None);(1, 0, 0, 0, 0, 0);((1, 0), 0.0, '2022-01-01T00:00:00');((1, 0), 0.0, '2022-01-01T00:00:00');(1, 0, 0, 0, 0, 0);((1, 0), 0.0, '2022-01-01T00:00:00');(1, 0, 0, 0, 0, 0);;;
