data_i;cod_staz;cod_aggr;ur;ur00;ur01;ur02;ur03;ur04;ur05;ur06;cl_ur06;ur07;ur08;ur09;ur10;ur11;ur12;cl_ur12;ur13;ur14;ur15;ur16;ur17;ur18;ur19;ur20;ur21;ur22;ur23
2021-02-10 00:00:00;6660;4;((24, 1), 71.1, 10.3, (None, None), 91.0, 52.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-11 00:00:00;6660;4;((24, 1), 88.5, 12.7, (None, None), 100.0, 65.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-12 00:00:00;6660;4;((24, 1), 88.8, 9.8, (None, None), 100.0, 75.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-13 00:00:00;6660;4;((24, 1), 92.3, 10.6, (None, None), 100.0, 75.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-14 00:00:00;6660;4;((24, 1), 69.7, 8.4, (None, None), 80.0, 53.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-15 00:00:00;6660;4;((24, 1), 66.0, 13.2, (None, None), 81.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-16 00:00:00;6660;4;((24, 1), 54.8, 16.6, (None, None), 78.0, 26.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-17 00:00:00;6660;4;((24, 1), 73.5, 14.5, (None, None), 90.0, 46.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-18 00:00:00;6660;4;((24, 1), 76.0, 13.2, (None, None), 95.0, 54.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-19 00:00:00;6660;4;((24, 1), 76.2, 14.5, (None, None), 92.0, 52.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-20 00:00:00;6660;4;((24, 1), 74.9, 15.2, (None, None), 90.0, 52.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-21 00:00:00;6660;4;((24, 1), 85.2, 12.4, (None, None), 100.0, 65.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-22 00:00:00;6660;4;((24, 1), 94.8, 6.8, (None, None), 100.0, 82.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-23 00:00:00;6660;4;((24, 1), 93.1, 10.2, (None, None), 100.0, 75.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-24 00:00:00;6660;4;((24, 1), 67.5, 17.1, (None, None), 100.0, 39.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-25 00:00:00;6660;4;((24, 1), 61.4, 14.2, (None, None), 87.0, 36.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-26 00:00:00;6660;4;((24, 1), 63.1, 11.4, (None, None), 83.0, 44.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-27 00:00:00;6660;4;((24, 1), 62.3, 11.8, (None, None), 85.0, 40.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-02-28 00:00:00;6660;4;((24, 1), 75.9, 13.5, (None, None), 93.0, 55.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-01 00:00:00;6660;4;((24, 1), 67.6, 16.9, (None, None), 86.0, 40.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-02 00:00:00;6660;4;((24, 1), 68.2, 14.6, (None, None), 92.0, 47.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-03 00:00:00;6660;4;((24, 1), 71.5, 16.0, (None, None), 88.0, 43.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-04 00:00:00;6660;4;((24, 1), 61.1, 13.4, (None, None), 82.0, 42.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-05 00:00:00;6660;4;((24, 1), 64.7, 13.0, (None, None), 85.0, 42.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-06 00:00:00;6660;4;((24, 1), 85.8, 13.0, (None, None), 100.0, 61.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-07 00:00:00;6660;4;((24, 1), 71.0, 13.3, (None, None), 100.0, 57.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-08 00:00:00;6660;4;((24, 1), 99.7, 1.0, (None, None), 100.0, 96.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-09 00:00:00;6660;4;((24, 1), 100.0, 0.0, (None, None), 100.0, 100.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-10 00:00:00;6660;4;((24, 1), 76.0, 17.3, (None, None), 100.0, 52.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-11 00:00:00;6660;4;((24, 1), 60.0, 10.4, (None, None), 80.0, 44.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-12 00:00:00;6660;4;((24, 1), 70.6, 5.2, (None, None), 80.0, 63.0);;;;;;;;;;;;;;;;;;;;;;;;;;
2021-03-13 00:00:00;6660;4;((24, 1), 84.9, 12.5, (None, None), 100.0, 64.0);;;;;;;;;;;;;;;;;;;;;;;;;;
